Date,Gratitude,Plan,Tasks,Review,Takeaway
6/7/26,,"930-1030 quandao 1 hour
1030-12 Project 1 Wasted 4 hours
1230-100 Projects
2-3 lunch and chill.
3-5 wasted
5-8 porn
8-10 dinner
10-11 work.","1. fix the quandao project (tick)
2. finish project 1 X
3. finish project 2 X
4. learn all the interview concepts. X",no work done absolutely ended the day with zero productivity,"Its okay, get back up tomorrow."
7/7/26,I am gratefull for my self confidence,"10-11 chill
11-1 Project 2
1-2 Regret, suicide death.
2-8 overthinking.
8-9 Project 2
9-11 Prepare important Projects &","1. finish project 1
2. finish project 2
3. Apply for 10 companies","drifted across the day, one bad day is not a bad life, keep working to reach where you want to","wake up, eat well, stay clear, set finite & clear goals. Remember to know my dream."
8/7/26,I am grateful for a good breakfast,"9-10 breakfast, stretching, get freshup
10-12 Finish repo clean & org.
12-3 chill bro.
3-5 update the resume & prepare projects
5-6 update resume & fill onboarding form.","1. Finish all the repo cleaning & org (tick)
2. update the final resume.
3. Apply for companies
4. wash clothes (tick)
5. go for Run
6. prepare the projects.",Wasted a hell lot of time for a stupid training task. anyways I had no control over,finish up the projects and rush up to placements.
14/7/26,I am grateful to myself for not giving up.,"9-12 wasted overthinking 3
12-2 wasted time watching porn 2
2-5 sleep, resume 2
5-630 doom scrolling and youtube 2.5
630-1130 Applications 5
1130-1 Application
5 hours of work","1. Apply for companies (tick)
2. Finish NLP Prep. (cross)
3. Finish 15 leetcode (cross)
4. Eat good protein & balance. (cross)
5. Resume meeting. (tick)",I have to keep my self confidence and self esteem up and have to be always happy.,Stay happy positive & work everyday.
15/7/26,I am grateful for education and god.,"8-9 I should keep everything to myself 1
9-10 leetcode 1
10-1 sleep and rest 3
1-2 cook and lunch 2
2-4 leetcode 2
4-830 Chill, Run, dinner, chill 4
9-3 Match, Porn & timewaste 6
3 hours work 13 hours waste.","1. Solve 21 leetcode 3+4+4 (tick)
2. Sleep well & recover (~)
3. Do the project (x)
4. Learn NLP & finish topics
5. Work in 6 hours of High ROI.
6. Mail Guvi about preplacements (tick)
7. Job application (2) (2)
8. Study RAG project.
9. Run 5k (tick)
10. Documents (x)",Do you Realise what will happen if you keep wasting time? everyday you are delaying your job.,Do not watch youtube or anything before i finish 80% of the work.
16/7/26,I am grateful for my exes.,"8-11 Refresh, cook, Study. NLP, RAG 3
11-1 sleep, lunch 2
1-3 RAG, CI/CD, pytest, GCP, Docker 2
3-5 wash, chill, waste time 2
5-9 waste out 4
9-12 ittybitty tasks 3
5 hours work 5hours waste","1. Finish NLP concepts (tick)
2. Finish RAG concepts & others (tick)
3. Solve 15 leetcode 2+6 (x)
4. wash clothes (tick)
5. Apply for Jobs for 2hours (x)
6. Submit the documents for PHD. (x)",better than yesterday but I should still speed up the process,speed up the process. everyday you stay means you are delaying it.
17/7/26,I am grateful for being able to have IDOLR.,"9-1 Refresh, manifest, breakfast, coding 4
1-5 Project busy & working 4
5-8 chill, research, go out 3
9-12 youtube & chill 3
8 hours work 6hours wasted","1. solve 12 leetcode problems (tick)
2. get the documents ready for phd (tick)
3. Apply for jobs (x)
4. Revise all concepts (x)
5. Do a project for superkalam (tick)",I did a lot of work but I lacked efficiency and timeing,I will improve efficiency tomorrow.
18/7/26,I am grateful for not wanting Quick money.,"12-1 Refresh, talked to sarvesh, leetcode
1-6 chill and waste, No heavy work.
6-12 two timing and wasted","1. Solve 5 leetcode (tick)
2. Finish the superkalam project (x)
3. Finish the PHD application (x)
4. learn & revise the concepts (x)
5. go for a run (x)
6. Restructure the portfolio first (x)",wasted the whole day cuz i wast focused and wanted cheap dopamine,"I am the only person thats going to help me, no one else."
19/7/26,I am grateful for having everything I have.,,"1. Solve 5 leetcode (tick)
2. finish the application for superkalam (tick)
3. Finish PHD application (~)
4. go out for a run (~)
5. Restructure personal projects (tick)",I am doing terrible at my job I am not earning & I am treating myself as absolute looser,stop treating myself as a loser focus and lock the fuck in. earn mony & be free.
20/7/26,I am grateful for being able to help myself.,"11.30-2 Refresh, cook, application dm's
2-5 leetcode, wash, application PHD.
5-8 PhD application prep
8-9 dinner, walk, shower, asking
9-11 Asking for LOR., interview Prep
11-12 Sleep","1. cook chicken (tick)
2. Submit PHD application (~)
3. solve leetcode (tick)
4. wash clothes & bedsheet (tick)
5. go study for interview
6. go for run (x)
7. be silent 10 15 mins & manifest (~)
8. Quandao Resume
9. Apply for jobs.",cuz of enough rest I managed to get work done,keep the good work tom.
21/7/26,I am grateful to be able to help myself.,"11.30-1 talk on phone, refresh, read, LOR req 1.5
1-2 lunch, leetcode, sleep 1
2-5 leetcode, coffee, wash, resume
5-6 chess, QD resume, chill
6-8 Quandao project, QDresume, Docs to sid
8-11 Docs to sid, QDresume","1. Request for LOR (tick)
2. Solve 10 leetcode (tick)
3. wash bedsheet (tick)
4. Apply for jobs (30)
5. prepare quandao resume (x)
6. Go for a walk & go out (x)
7. Study Quandao project (x)
8. Study for interview.
9. mail GUVI about interview",not so productive day,I should make sure I put 6 hours of hardwork. rest is not in my hands.
22/7/26,I am grateful to be able to get back after a fall.,"9-1 leetcode, sleep 2
1-5 codebase restructure, resume 1
5-6 chill, restructure
6-8 got out & dinner 2
8-10 Quandao codebase 
10-1 Quandao codebase & resume 3
8 hours work 5 hours waste","1. leetcode 5 problems (tick)
2. Restructure Quandao (~)
3. Prepare quandao resume (tick)
4. learn ML & DS topics (x)
5. sleep well & take rest (tick)
6. Prepare a generic resume (x)
7. Apply for 30 jobs. (x)",Day went well and productive but I should focus on high ROI tasks,should focus only on high ROI tasks.
23/7/26,I am grateful for being able to help myself.,"11-12 breakfast, email, solve leetcode 1
12-4 leetcode, QD code 4
4-6 Generalist resume, chill 2
6-9 Run and chill 3
9-2 chill, porn 5
7 hours work 8 hours wasted.","1. Email to GUVI (tick)
2. Finalize solve leetcode 5 (tick)
3. Prepare generic resume (tick)
4. Apply for all available jobs (x)
5. Prepare ML & DL (x)
6. update Quandao code & resume",good that I did some work & went for a great run but that work isnt high ROI,I should focus on high ROI tasks.
24/7/26,I am grateful for mental clarity & knowledge,"10-1 Freshup, breakfast, leetcode 3
1-3 lunch, markets, chill 2
3-5 codebase cleanup & work. 2
5-8 out 3
9-1. chill","1. Solve leetcode (tick)
2. Prepare the quandao resume (x)
3. LOR updates (x)
4. Apply for companies (x)
5. study for interview (x)",Day was good but wasted a lot of time by unfocused & less ROI work,I will not just drift but actualy put focused deep work.
25/7/26,I am grateful for the knowledge & the ability to talk.,"10-12 Freshup, breakfast, read, leetcode 2
12-2 chill 2
2-10 chill 8","1. Solve leetcode (tick)
2. Apply for companies (x)
3. LOR updates (x)
4. study for interview (tick)
5. wash clothes (tick)
6. go for a walk or run
7. Do yoga",basically wasted my whole day due to satterfocus,Do not think of anything before getting the first jobs done
26/7/26,I am grateful for having a house to stay & rentpaid.,"8-10 Freshup, breakfast, Applications, sleep 2
10-1 Chill, timepaste 3
1-3 Chill. 2
3-10 Chill and waste time.","1. Apply for companies
2. go for run (x)
3. yoga & stretch","NO focus, NO discipline just time waste",life rewards the one who gives up comfort for hardwork.
27/7/26,I am grateful for having good healthy family,"8-12 Freshup, read, breakfast, sleep
12-2. leetcode problems
2-4 & PhD application
4-5. leetcode
5-10 madhavan
10-12 Research","1. Solve leetcode 5 (x)
2. LOR. (x)
3. Meet madhavan (tick)
4. Eat Protein (tick)
5. Do light homewortout (x)
6. Apply for jobs (x)
7. study for jobs.","No work, too much fatigue and no Quality working.",I will work well tomorrow.
28/7/26,For a good life.,"10-12 Refresh, breakfast, coffee.
12-3 LOR.
3-5 leetcode, LOR, chill.
5-7 Time waste, horny, drifting
7-8 Cook dinner.
8-9. walk, dinner, shower","1. LOR for PHD
2. Apply for jobs
3. Prepare for jobs
4. leetcode 5 Q.
5. go for SK.","Same loop, im very sure im gonna be worse when I get oldm",lifes only getting worse if i dont work now.
29/7/26,For having good education,"9-3 wakeup, Freshup, sleep
3-5 youtube
5-930 Chill.
930-11 Analysis.","1. LOR updates (x)
2. leetcode (x)
3. Application Status check (x)
4. wash clothes (x)",wasted the whole day but had some motivation,sleep wakeup & change the day
30/7/26,I am grateful for being able to stay happy.,"730-830 Freshup.
830-2 Markets, and learning
2-330 Chill.
330-5 leetcode.
5-6 chill.
6-9 wash, shower, walk, dinner","1. Solve leetcode (x)
2. Study the concepts (tick)
3. Devlop something (x)
4. go for a run. (x)
5. Find wash clothes (tick)",Day went well but more of less ROI work than high ROI,Do high ROI tasks & focus on making money.
31/7/26,I am grateful for being able to do whatever I want.,"830-1. Freshup, breakfast, trade.
1-2 lunch and leetcode.
2-330 leetcode, Nap.
330-5 strategy or problem.
5-9 Chill.","1. Solve leetcode 2.
2. Find a strategy or problem. (tick)
3. Find a open source repo.
4. Study for interview",day went but no motion no LARP,work today or you are gonna never make it to 100cr.
1/8/26,I am grateful for my good health.,"730-12 Freshup, breakfast, clean toilet, chill 4.5
12-2 Journal app, monthly goals 2
2-5 lunch, GoalOS rebuilding 3
5-9 chill, go for walk, dinner 4
9-11 study and chill 2","1. Journal app work & cleanup (tick)
2. Set monthly goals & plans (tick)
3. study for the interview (X)","Day went okay, I am not planning the highest ROI & priority tasks for the start of the day.",prioritize most important and highest ROI tasks for the morning.
2/8/26,I am grateful for my friends & wellwishers,"8-930 Refresh, Breakfast, Study 0.5
930-11 Doom scrolling & social media 1.5
11-12 Study 1
12-130 Chill 1.5
130-3 flirting & timewasting 1.5
3-4 horny & time waste 1
4-11 Movie 7","1. Apply for GUVI interview (tick)
2. Study for interview (x)
3. backtest the strategy (x)
4. go for a run (x)
5. cook something and have fun (x)
6. Apply for companies (x)","look at the data & realise whats wrong and take action.",I should finish the hardest tasks early in the day.
3/8/26,I am grateful for my life and people around me.,"7-9 Freshup, study, breakfast 1
9-11 trading 4
11-2 study for interview wasted 3
3-330 study for interview 0.5
4-430 Study 0.5
6-7 walk 3k 1
9-930 study","1. Study for interview P1 (tick)
2. Wash clothes P1 (tick)
3. trade P2 (tick)
4. Apply for companies P2 (tick)
5. Network School exam P1 (X)
6. go for run P2 (tick)",Went well but couldnt stay focused.,I should lock in bro.
4/8/26,I am grateful for god's chances to me,115-145 Study 0.5,"1. study for interview P1 (X)
2. Research about IIT Roorkee P3 (X)
3. Apply for companies P1 (X)
4. Research about NS. Exam P3 (X)",trust me you are going to end up in a very bad state possible,I wont care anyways.
5/8/26,I am grateful for learning lessons my own.,"915-945 study
630-7 meeting","1. study for interview P1 (X)
2. Apply for companies P1 (X)
3. solve leetcode (X)",my dreams will only stay as dreams,Remember the goal.
6/8/26,I am grateful for living without diseases,"1230-1 Study 0
1-130 Study 0.5
230-3 Study 0.5
5-530 Study 0.5
9-930","1. study the interview mistakes P1 (tick)
2. solve leetcode P1 (X)
3. Apply for companies P1 (X)",I will never make it out of sattur.,Anyways dont care about my life and dont respect myself.
7/8/26,I am grateful for my mindset.,"845-915 study
1115-","1. Study - 2 hrs P1 (X)
2. Devlop the Quandao P2 (X)
3. Apply for companies P3 (tick)",mostly wasted as expected,No matter what you have to move.
8/8/26,I am grateful for AC in my house.,1010-1040 study 0,"1. Go for run P2 (X)
2. Study for your interview P1 (X)
3. Do home workout P3 (tick)
4. Apply for 30 companies P1 (tick)
5. Solve 5 leetcode P1 (X)
6. Wash your clothes P2 (tick)
7. Work on quandao P3 (tick)",the day went well but zero work.,I should do the easy work when bored and the strong work when focused insted of sticking to the time
9/8/26,I am very grateful for having such motivation,2-6 Project 4 (Deepwork 4 hours),"1. Finish the vahan project P1 (tick)
2. Go for run P2 (X)
3. Have good lunch P3 (tick)
4. Do yoga P2 (X)
5. Finish other topics except python P1 (X)
6. Apply for 30 companies P1 (X)",too much free time and im focusing on too many things,fixed time & Multitasking doesnt work for me so focus one thing at a time
10/8/26,I am grateful for such education & big dreams,3-330 Study 30 (Deep work 30 mins),"1. study everything except Python (X)
2. Apply for all possible companies (tick)
3. Cook soya chunks (X)
4. Do yoga (tick)",Mostly wasted the whole day not doing the interested work,Do only thing that has highest ROI.
11/8/26,I am grateful for the knowledge and network,,"1. Apply for as many companies P1 (X)
2. Study for interviews P2 (X)
3. Moser assignment P1 (tick)
4. Wash clothes P2 (X)",Every day I delay will eat up my life remember.,"Dont regret 6 months later, its gonna get worse. Only 142 days left in 2026."
12/8/26,I am grateful for such knowledge & education,"9-11 AM Refresh, instagram, Rolex
11-1 instagram, youtube
1-2 lunch and chill yt
2-4 watched corn, instagram
4-5 corn
5-7 Running
8-10 Applications
10-12 AM Applications","1. Applications (tick)
2. Washing clothes (tick)
3. doing some workout (tick)",shoul work more on what matters,should keep up the fitness
13/8/26,I am grateful for my food that feeds,"11-12 breakfast & Application
12-2 Naukri profile update & Applies
2-4 chill, lunch
4-6 chill
6-8 chill
8-10 chill
10-12 chill","1. Apply for companies (tick)
2. Home workout (tick)
3. Troopod assignment (X)
4. Shaan Application (X)",you are still not realising how you have wasted the last two years,Remember how you wasted your years already think & become serious.
14/8/26,I am grateful for owning a camera,"9-10 Freshup, breakfast
10-12 Application in Linkedin
12-2 chill, lunch
2-4 meeting, treepod
4-6 walk & chill
6-8 chill
8-10 Dinner, work
10-12 Troopod assignment","1. Applications (X)
2. Orientation (tick)
3. Troopod assignment (tick)
4. Ginani assignment (X)",Day went well but wasted most of my day on crap.,Have to lock in bro.!
15/8/26,I am grateful for bigger dreams,"9-10 Freshup, breakfast
10-12 Chill, youtube
12-2 Chill youtube
2-4 Kaggle Project
4-6 Chill & Fun
6-8 Wasted
8-10 Wasted
10-12 Wasted","1. Applications (X)
2. Preparation for SME role (X)
3. Do something with antigravity (X)
4. Write to buy list (X)
5. Quandao project (X)
6. Kaggle project (X)",I seriously wasted a whole day for nothing,Remember the more you delay the hardwork the more harder it gonna become.

